"Row","Index","Value"
"28","1",""
"28","2",""
"28","3",""
"28","4","x."
"28","5","Coordinates of the main emission source (latitude):"
"28","6",""
"28","7",""
"28","8",""
"28","9",""
"28","10",""
"28","11",""
"28","12",""
"28","13",""
"28","14",""
"28","15",""
"28","16",""
"28","17",""
"28","18",""
"28","19",""
"28","20",""
"28","21",""
"28","22",""
"28","23",""
"28","24",""
"28","25",""
"28","26",""
"28","27",""
"28","28",""
"28","29",""
"28","30",""
"28","31",""
"28","32",""
"28","33",""
"28","34",""
"28","35",""
